Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,8,113,0,Some Random Commen with Id 0
1,0,8,2,1,Some Random Commen with Id 1
2,0,8,55,5,Some Random Commen with Id 2
3,0,8,68,6,Some Random Commen with Id 3
4,0,8,189,3,Some Random Commen with Id 4
5,1,3,155,8,Some Random Commen with Id 5
6,1,3,119,7,Some Random Commen with Id 6
7,1,3,178,9,Some Random Commen with Id 7
8,2,9,16,6,Some Random Commen with Id 8
9,2,9,101,9,Some Random Commen with Id 9
10,2,9,50,7,Some Random Commen with Id 10
11,2,9,149,1,Some Random Commen with Id 11
12,2,9,16,6,Some Random Commen with Id 12
13,2,9,129,7,Some Random Commen with Id 13
14,2,9,9,0,Some Random Commen with Id 14
15,4,2,85,9,Some Random Commen with Id 15
16,4,2,102,6,Some Random Commen with Id 16
17,4,2,161,0,Some Random Commen with Id 17
18,4,2,199,2,Some Random Commen with Id 18
19,5,3,65,3,Some Random Commen with Id 19
20,5,3,183,0,Some Random Commen with Id 20
21,6,0,95,1,Some Random Commen with Id 21
22,6,0,107,5,Some Random Commen with Id 22
23,6,0,71,9,Some Random Commen with Id 23
24,6,0,32,4,Some Random Commen with Id 24
25,6,0,31,4,Some Random Commen with Id 25
26,6,0,128,8,Some Random Commen with Id 26
27,6,0,84,3,Some Random Commen with Id 27
28,6,0,3,1,Some Random Commen with Id 28
29,6,0,113,4,Some Random Commen with Id 29
30,7,3,122,9,Some Random Commen with Id 30
31,7,3,158,7,Some Random Commen with Id 31
32,7,3,164,7,Some Random Commen with Id 32
33,7,3,48,4,Some Random Commen with Id 33
34,7,3,57,8,Some Random Commen with Id 34
35,7,3,184,3,Some Random Commen with Id 35
36,8,9,68,9,Some Random Commen with Id 36
37,8,9,56,0,Some Random Commen with Id 37
38,8,9,55,4,Some Random Commen with Id 38
39,8,9,68,5,Some Random Commen with Id 39
40,8,9,129,4,Some Random Commen with Id 40
41,9,4,14,3,Some Random Commen with Id 41
42,9,4,38,0,Some Random Commen with Id 42
43,9,4,35,3,Some Random Commen with Id 43
44,9,4,68,6,Some Random Commen with Id 44
45,10,6,75,9,Some Random Commen with Id 45
46,10,6,163,5,Some Random Commen with Id 46
47,10,6,60,0,Some Random Commen with Id 47
48,10,6,84,2,Some Random Commen with Id 48
49,10,6,1,8,Some Random Commen with Id 49
50,10,6,172,5,Some Random Commen with Id 50
51,10,6,147,1,Some Random Commen with Id 51
52,10,6,143,7,Some Random Commen with Id 52
53,11,4,176,1,Some Random Commen with Id 53
54,11,4,28,5,Some Random Commen with Id 54
55,11,4,67,0,Some Random Commen with Id 55
56,12,4,111,6,Some Random Commen with Id 56
57,12,4,50,9,Some Random Commen with Id 57
58,12,4,159,9,Some Random Commen with Id 58
59,12,4,110,2,Some Random Commen with Id 59
60,12,4,199,2,Some Random Commen with Id 60
61,12,4,165,7,Some Random Commen with Id 61
62,12,4,140,6,Some Random Commen with Id 62
63,13,6,196,1,Some Random Commen with Id 63
64,13,6,37,0,Some Random Commen with Id 64
65,13,6,181,3,Some Random Commen with Id 65
66,13,6,107,3,Some Random Commen with Id 66
67,13,6,161,0,Some Random Commen with Id 67
68,13,6,133,9,Some Random Commen with Id 68
69,13,6,7,1,Some Random Commen with Id 69
70,13,6,7,4,Some Random Commen with Id 70
71,13,6,13,5,Some Random Commen with Id 71
72,14,5,1,6,Some Random Commen with Id 72
73,14,5,154,6,Some Random Commen with Id 73
74,14,5,183,9,Some Random Commen with Id 74
75,15,5,173,7,Some Random Commen with Id 75
76,15,5,100,3,Some Random Commen with Id 76
77,15,5,162,2,Some Random Commen with Id 77
78,15,5,33,9,Some Random Commen with Id 78
79,15,5,76,4,Some Random Commen with Id 79
80,15,5,126,7,Some Random Commen with Id 80
81,15,5,41,9,Some Random Commen with Id 81
82,16,1,54,2,Some Random Commen with Id 82
83,16,1,68,2,Some Random Commen with Id 83
84,16,1,187,4,Some Random Commen with Id 84
85,16,1,12,2,Some Random Commen with Id 85
86,17,5,99,4,Some Random Commen with Id 86
87,18,2,47,6,Some Random Commen with Id 87
88,18,2,18,8,Some Random Commen with Id 88
89,18,2,156,6,Some Random Commen with Id 89
90,18,2,9,5,Some Random Commen with Id 90
91,19,4,74,9,Some Random Commen with Id 91
92,19,4,79,6,Some Random Commen with Id 92
93,19,4,35,5,Some Random Commen with Id 93
94,19,4,174,0,Some Random Commen with Id 94
95,19,4,155,5,Some Random Commen with Id 95
96,19,4,32,8,Some Random Commen with Id 96
97,19,4,4,8,Some Random Commen with Id 97
98,19,4,24,4,Some Random Commen with Id 98
99,20,5,78,9,Some Random Commen with Id 99
100,20,5,124,5,Some Random Commen with Id 100
101,20,5,17,4,Some Random Commen with Id 101
102,20,5,193,7,Some Random Commen with Id 102
103,20,5,182,3,Some Random Commen with Id 103
104,20,5,133,9,Some Random Commen with Id 104
105,20,5,82,1,Some Random Commen with Id 105
106,21,5,131,3,Some Random Commen with Id 106
107,21,5,163,9,Some Random Commen with Id 107
108,22,7,92,2,Some Random Commen with Id 108
109,22,7,9,9,Some Random Commen with Id 109
110,22,7,69,3,Some Random Commen with Id 110
111,22,7,24,8,Some Random Commen with Id 111
112,22,7,199,4,Some Random Commen with Id 112
113,22,7,21,5,Some Random Commen with Id 113
114,22,7,129,8,Some Random Commen with Id 114
115,23,0,60,6,Some Random Commen with Id 115
116,23,0,102,5,Some Random Commen with Id 116
117,23,0,163,7,Some Random Commen with Id 117
118,23,0,22,8,Some Random Commen with Id 118
119,23,0,46,3,Some Random Commen with Id 119
120,24,7,150,9,Some Random Commen with Id 120
121,25,1,83,5,Some Random Commen with Id 121
122,25,1,122,7,Some Random Commen with Id 122
123,25,1,64,9,Some Random Commen with Id 123
124,25,1,161,5,Some Random Commen with Id 124
125,25,1,184,2,Some Random Commen with Id 125
126,25,1,21,3,Some Random Commen with Id 126
127,25,1,18,3,Some Random Commen with Id 127
128,25,1,136,9,Some Random Commen with Id 128
129,25,1,192,2,Some Random Commen with Id 129
130,26,6,134,5,Some Random Commen with Id 130
131,26,6,44,7,Some Random Commen with Id 131
132,26,6,69,1,Some Random Commen with Id 132
133,26,6,61,5,Some Random Commen with Id 133
134,26,6,175,8,Some Random Commen with Id 134
135,27,5,117,5,Some Random Commen with Id 135
136,27,5,95,1,Some Random Commen with Id 136
137,28,1,86,9,Some Random Commen with Id 137
138,28,1,13,8,Some Random Commen with Id 138
