Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,3,15,5,Some Random Commen with Id 0
1,0,3,162,4,Some Random Commen with Id 1
2,2,2,185,3,Some Random Commen with Id 2
3,3,5,72,9,Some Random Commen with Id 3
4,3,5,37,3,Some Random Commen with Id 4
5,3,5,22,3,Some Random Commen with Id 5
6,3,5,157,0,Some Random Commen with Id 6
7,3,5,180,5,Some Random Commen with Id 7
8,3,5,12,7,Some Random Commen with Id 8
9,3,5,148,6,Some Random Commen with Id 9
10,3,5,196,1,Some Random Commen with Id 10
11,3,5,94,7,Some Random Commen with Id 11
12,4,1,59,3,Some Random Commen with Id 12
13,5,4,137,3,Some Random Commen with Id 13
14,5,4,5,1,Some Random Commen with Id 14
15,5,4,45,7,Some Random Commen with Id 15
16,5,4,180,5,Some Random Commen with Id 16
17,5,4,79,2,Some Random Commen with Id 17
18,5,4,161,6,Some Random Commen with Id 18
19,5,4,135,8,Some Random Commen with Id 19
20,5,4,137,5,Some Random Commen with Id 20
21,5,4,109,2,Some Random Commen with Id 21
22,6,5,38,5,Some Random Commen with Id 22
23,6,5,65,5,Some Random Commen with Id 23
24,6,5,155,7,Some Random Commen with Id 24
25,6,5,120,3,Some Random Commen with Id 25
26,6,5,187,8,Some Random Commen with Id 26
27,6,5,131,2,Some Random Commen with Id 27
28,6,5,184,9,Some Random Commen with Id 28
29,7,6,87,1,Some Random Commen with Id 29
30,7,6,151,4,Some Random Commen with Id 30
31,7,6,49,9,Some Random Commen with Id 31
32,7,6,120,4,Some Random Commen with Id 32
33,7,6,87,3,Some Random Commen with Id 33
34,7,6,152,8,Some Random Commen with Id 34
35,8,0,179,7,Some Random Commen with Id 35
36,8,0,192,0,Some Random Commen with Id 36
37,8,0,195,5,Some Random Commen with Id 37
38,8,0,67,1,Some Random Commen with Id 38
39,8,0,166,2,Some Random Commen with Id 39
40,8,0,51,1,Some Random Commen with Id 40
41,9,2,60,4,Some Random Commen with Id 41
42,9,2,73,1,Some Random Commen with Id 42
43,9,2,98,4,Some Random Commen with Id 43
44,9,2,9,2,Some Random Commen with Id 44
45,9,2,32,8,Some Random Commen with Id 45
46,9,2,182,6,Some Random Commen with Id 46
47,9,2,57,8,Some Random Commen with Id 47
48,9,2,55,9,Some Random Commen with Id 48
49,9,2,109,5,Some Random Commen with Id 49
50,10,2,117,4,Some Random Commen with Id 50
51,10,2,30,7,Some Random Commen with Id 51
52,10,2,146,7,Some Random Commen with Id 52
53,10,2,61,1,Some Random Commen with Id 53
54,10,2,32,5,Some Random Commen with Id 54
55,10,2,90,8,Some Random Commen with Id 55
56,10,2,128,2,Some Random Commen with Id 56
57,10,2,117,5,Some Random Commen with Id 57
58,11,0,165,4,Some Random Commen with Id 58
59,11,0,65,0,Some Random Commen with Id 59
60,11,0,184,9,Some Random Commen with Id 60
61,11,0,33,2,Some Random Commen with Id 61
62,11,0,186,1,Some Random Commen with Id 62
63,12,0,162,8,Some Random Commen with Id 63
64,12,0,193,8,Some Random Commen with Id 64
65,12,0,125,4,Some Random Commen with Id 65
66,12,0,102,7,Some Random Commen with Id 66
67,12,0,170,8,Some Random Commen with Id 67
68,12,0,164,0,Some Random Commen with Id 68
69,12,0,100,4,Some Random Commen with Id 69
70,12,0,73,1,Some Random Commen with Id 70
71,12,0,78,9,Some Random Commen with Id 71
72,13,6,88,7,Some Random Commen with Id 72
73,13,6,160,5,Some Random Commen with Id 73
74,13,6,40,6,Some Random Commen with Id 74
75,13,6,131,0,Some Random Commen with Id 75
76,13,6,164,5,Some Random Commen with Id 76
77,13,6,81,4,Some Random Commen with Id 77
78,13,6,164,8,Some Random Commen with Id 78
79,13,6,153,2,Some Random Commen with Id 79
