Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,3,28,9,Some Random Commen with Id 0
1,0,3,137,1,Some Random Commen with Id 1
2,1,8,171,5,Some Random Commen with Id 2
3,1,8,65,8,Some Random Commen with Id 3
4,1,8,168,6,Some Random Commen with Id 4
5,1,8,87,1,Some Random Commen with Id 5
6,1,8,162,9,Some Random Commen with Id 6
7,1,8,147,9,Some Random Commen with Id 7
8,2,8,36,2,Some Random Commen with Id 8
9,2,8,16,4,Some Random Commen with Id 9
10,2,8,89,6,Some Random Commen with Id 10
11,2,8,141,9,Some Random Commen with Id 11
12,2,8,47,2,Some Random Commen with Id 12
13,2,8,44,0,Some Random Commen with Id 13
14,3,7,199,7,Some Random Commen with Id 14
15,3,7,75,1,Some Random Commen with Id 15
16,3,7,124,1,Some Random Commen with Id 16
17,3,7,49,4,Some Random Commen with Id 17
18,3,7,72,4,Some Random Commen with Id 18
19,3,7,60,7,Some Random Commen with Id 19
20,3,7,5,6,Some Random Commen with Id 20
21,3,7,99,6,Some Random Commen with Id 21
22,4,7,24,6,Some Random Commen with Id 22
23,4,7,179,7,Some Random Commen with Id 23
24,4,7,81,4,Some Random Commen with Id 24
25,4,7,70,5,Some Random Commen with Id 25
26,4,7,78,2,Some Random Commen with Id 26
27,4,7,172,6,Some Random Commen with Id 27
28,4,7,150,3,Some Random Commen with Id 28
29,4,7,32,0,Some Random Commen with Id 29
30,5,4,72,2,Some Random Commen with Id 30
31,5,4,163,9,Some Random Commen with Id 31
32,5,4,59,7,Some Random Commen with Id 32
33,5,4,119,2,Some Random Commen with Id 33
34,5,4,195,7,Some Random Commen with Id 34
35,5,4,30,2,Some Random Commen with Id 35
36,5,4,66,0,Some Random Commen with Id 36
37,5,4,178,5,Some Random Commen with Id 37
38,6,7,5,0,Some Random Commen with Id 38
39,6,7,108,3,Some Random Commen with Id 39
40,6,7,166,1,Some Random Commen with Id 40
41,6,7,193,8,Some Random Commen with Id 41
42,6,7,19,8,Some Random Commen with Id 42
43,6,7,79,7,Some Random Commen with Id 43
44,6,7,98,7,Some Random Commen with Id 44
45,6,7,83,9,Some Random Commen with Id 45
46,7,4,77,4,Some Random Commen with Id 46
47,7,4,100,0,Some Random Commen with Id 47
48,7,4,33,8,Some Random Commen with Id 48
49,7,4,143,3,Some Random Commen with Id 49
50,7,4,122,9,Some Random Commen with Id 50
51,7,4,89,0,Some Random Commen with Id 51
52,7,4,129,8,Some Random Commen with Id 52
53,8,9,147,6,Some Random Commen with Id 53
54,8,9,65,4,Some Random Commen with Id 54
55,8,9,184,2,Some Random Commen with Id 55
56,8,9,74,4,Some Random Commen with Id 56
57,8,9,183,1,Some Random Commen with Id 57
58,8,9,31,7,Some Random Commen with Id 58
59,8,9,32,1,Some Random Commen with Id 59
